Наименование,Ключевые слова
Самоучитель Microsoft Visual Studio 2010 (Майо Дж.).pdf,"Visual Studio, .Net, Среда, Toolbar, Work Area, Toolbox, Окна, Настройки, Проекты"
,
Linux. Необходимый код и команды. Карманный справочник.pdf,"Linux, Fedora, Команты, Директории"
,
Linux. Полное руководство.pdf,"Linux, Fedora, Mandrake, Файловая система, Команды, KDE, Графика"
,
"Linux. Установка, настройка, администрирование.pdf","Linux, Gnome, KDE, VirtualBox, Bash, Файловая система, Процессы, Команды, GRUB, Init, Ядро и модули, Конфигурация сети, Интернет-шлюз, Samba,. NFS, AFP, SSH ,Apache, Брандмауэры,Виртуальные частные сети"
,
Ядро Linux Описание процесса разработки.pdf,"Linux, ядро Linux, Функции, Синхронизация ядра, Виртуальная файловая система, Кэш, Модули"
,
Командная строка Linux.pdf,"Linux,  Окружение, Оболочка, Пакеты, СЕти, Файловая система, "
,
Ubuntu Linux базовый курс.pdf,"Linux, Ubuntu, Установка, Драйвера, Программы, Настройка"
,
LINUX UBUNTU — руководство для начинающих.pdf,"Linux, Ubuntu, Структура, Установка, Репозитории, Безопасность, Web-вервер"
,
Ubuntu бесплатная альтернатива Windows.pdf,"Linux, Ubuntu, GNU, Интерфейс, Управление, Обновление, Безопасность"
,
Git для профессионального программиста.pdf,"Git, GitHub, Система контроля версий, Открытый исходный код, Настройка, Ветвление, Управление версиями"
,
Git Magic.pdf,"Git, GitHub, Управление версиями, Операции, Клонирование, Ветвление"
,
Pro Git.pdf,"Git, GitHub, Управление версиями, Репозитории, Коммиты, Ветвление, Сервер, Интсрументы, Распределенность, Команды, Настройка"
